row_label,age,age_label,residual_layer,severe_definition,domain,n_countries,n_countries_with_domain,coverage,mean_in_group,mean_out_group,difference,bootstrap_lower,bootstrap_upper,low_coverage,not_age_targeted,interpretation_direction
Under-5 shared,u5,Under-5,shared incidence + severe residual,YLLs high-excess,WASH,39,35,0.8974358974358975,0.0599780977402423,-0.0125404442382509,0.0725185419784932,-0.0677973016541459,0.2167062969284817,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
Under-5 shared,u5,Under-5,shared incidence + severe residual,YLLs high-excess,Immunisation / UHC,39,32,0.8205128205128205,0.0186899230494022,-0.0027661575417859,0.0214560805911882,-0.2005064588522484,0.2479957807216694,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
Under-5 shared,u5,Under-5,shared incidence + severe residual,YLLs high-excess,Health resources,39,19,0.4871794871794871,0.1299951278193328,-0.0389796147906858,0.1689747426100186,0.0007382022326675,0.3255135875969631,True,False,higher values indicate more adverse peer-relative context in the residual-priority group
Under-5 shared,u5,Under-5,shared incidence + severe residual,YLLs high-excess,HIV/TB,39,36,0.9230769230769232,0.3436841644749429,-0.0782229476715917,0.4219071121465346,0.1372044377257652,0.7562409683572592,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,Household energy / HAP,22,22,1.0,0.0079027459771032,0.0022316738216035,0.0056710721554996,-0.1544323495456663,0.1816666405104695,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,Outdoor PM2.5,22,22,1.0,0.2320873299399242,-0.0282095097164454,0.2602968396563696,-0.3358392680623438,0.8385314515636291,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,Thermal climate,22,22,1.0,0.2602259942725942,-0.0316296788618527,0.291855673134447,0.0764574275250915,0.5284332726756487,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,Wetness / transmission,22,22,1.0,-0.1500135408567072,0.0182336900488831,-0.1682472309055904,-0.5978396305836483,0.2856495868468661,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,WASH,22,20,0.9090909090909092,-0.0893550981349694,0.0112867022364954,-0.1006418003714649,-0.2178050593342578,0.0266575436301509,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,Immunisation / UHC,22,18,0.8181818181818182,0.0288157553017331,-0.0020911852690163,0.0309069405707494,-0.2684145127735906,0.3333662508747535,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,Health resources,22,11,0.5,0.2357479404113769,-0.0371493526317764,0.2728972930431533,0.0730116906736455,0.44572731652895,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ incidence-only,70p,70+ years,incidence-only residual,YLLs high-excess,HIV/TB,22,21,0.9545454545454546,-0.363728398681541,0.0414621964441381,-0.4051905951256791,-0.729038753032778,-0.1178744110219925,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,Household energy / HAP,22,22,1.0,0.103953724566276,-0.0094430307582958,0.1133967553245719,-0.0370615566492321,0.2634636040901298,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,Outdoor PM2.5,22,22,1.0,-0.2857659099001217,0.0347339779989192,-0.320499887899041,-0.6900312470287795,0.0198958277076675,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,Thermal climate,22,22,1.0,-0.039131823265968,0.0047563542091327,-0.0438881774751007,-0.3426548283085441,0.2187442465745369,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,Wetness / transmission,22,22,1.0,0.3698949346972142,-0.0449596053223116,0.4148545400195259,0.0957929160844778,0.7303186592060945,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,WASH,22,22,1.0,0.1018800478372613,-0.0124167865838959,0.1142968344211573,-0.1266729417777983,0.3824083837133292,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,Immunisation / UHC,22,21,0.9545454545454546,-0.0675981950600388,0.0091412108698496,-0.0767394059298885,-0.2890714316798413,0.1349319158761238,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,Health resources,22,12,0.5454545454545454,0.0721331519754935,-0.0205760176495465,0.09270916962504,-0.0552990734376449,0.2465721410427442,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ severe-only,70p,70+ years,severe-only residual,YLLs high-excess,HIV/TB,22,22,1.0,0.070923844567861,-0.0105671146715503,0.0814909592394113,-0.2661300183697095,0.422020021395216,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,Household energy / HAP,46,46,1.0,0.0815332381315545,-0.020208506884363,0.1017417450159175,-0.0058667101701504,0.2062196301122453,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,Outdoor PM2.5,46,46,1.0,0.2881779822381463,-0.0844343132672166,0.3726122955053629,0.0990164644253771,0.6473961799566343,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,Thermal climate,46,46,1.0,0.2109000920396385,-0.0617923836549149,0.2726924756945535,0.1013463752263141,0.4445697387396179,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,Wetness / transmission,46,46,1.0,-0.1260960706775209,0.0369453455488296,-0.1630414162263506,-0.452116308857483,0.1477260125052975,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,WASH,46,40,0.8695652173913043,0.2244376906984743,-0.0585071755509777,0.2829448662494521,0.1206568877392766,0.4526250563888381,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,Immunisation / UHC,46,45,0.9782608695652174,0.0065193186234048,-0.0009502916533776,0.0074696102767824,-0.1825396309429017,0.2122028343167049,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,Health resources,46,24,0.5217391304347826,0.1374900528384854,-0.0503657471630164,0.1878558000015018,0.054295400057378,0.3144085239965959,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
70+ shared,70p,70+ years,shared incidence + severe residual,YLLs high-excess,HIV/TB,46,45,0.9782608695652174,0.289746550283256,-0.0871770089179505,0.3769235592012065,0.0873889760952047,0.6721002640126552,False,False,higher values indicate more adverse peer-relative context in the residual-priority group
