age_group,age_label,severe_outcome,n_locations,median_absolute_percentile_rank_difference,q25_absolute_percentile_rank_difference,q75_absolute_percentile_rank_difference,incidence_severe_deviation_spearman
u5,Under-5,Deaths,203,12.315270935960594,4.4334975369458105,27.832512315270932,0.536881259844327
u5,Under-5,DALYs,203,12.315270935960587,4.4334975369458105,27.33990147783251,0.5397029416068237
u5,Under-5,YLLs,203,12.315270935960587,4.4334975369458105,27.33990147783251,0.5387518612771159
70p,70+ years,Deaths,203,14.285714285714288,7.389162561576349,26.600985221674875,0.612462738594926
70p,70+ years,DALYs,203,14.285714285714285,6.896551724137932,26.35467980295566,0.6261307527449356
70p,70+ years,YLLs,203,14.285714285714285,6.896551724137932,26.35467980295566,0.6242917105387734
