population_group_id,population_group,measure_id,measure,location_id,location_name,sex_id,sex,age_id,age,cause_id,cause,metric_id,metric,year,val,upper,lower,measure_short,iso3,country,sdi,hap_base,pm25_base,tavg,ah,path_household_disadvantage,path_ambient_pollution,path_thermal_context,path_wetness_context,log_val,expected_rate,excess_rate,observed_expected_ratio,log_observed_expected_ratio,benchmark_variant,observed_high_threshold,excess_rate_high_threshold,high_observed,high_excess,profile,sdi_year_quintile,log_UI_width,relative_UI_width,population_at_risk,primary_high_deviation,primary_profile,benchmark_stability_share,primary_benchmark_deviation,eligible_base,eligible,expected_rate_used,excess_rate_eval,high_observed_eval,high_deviation_eval,scenario_id,scenario,benchmark_mode,model_identifier,fixed_expected_rate,prediction_difference_vs_fixed
1,All Population,6,Incidence,58,Estonia,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,2502.66755265997,3095.51156601342,1971.12511614463,Incidence,EST,EST,0.854860197,14.66898454156655,5.91844561892566,6.979247746548758,6.708281954579406,-1.5444678683740278,-1.6883563929708774,-1.807658473979158,-0.1023550720252152,7.825112463057928,1379.391645046186,1123.275907613784,1.8143270344197089,0.5957146190268935,spline_df3,7330.71695103106,649.7363241861207,False,True,excess-only,,0.4513486756994123,0.4492751938521485,67778.41280578442,True,deviation-only,1.0,1125.758101513661,True,True,1379.391645046186,1123.275907613784,False,True,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,1379.391645046186,0.0
1,All Population,6,Incidence,45,Bulgaria,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,4042.16336222822,4708.64397412493,3444.53472153645,Incidence,BGR,BGR,0.770862429,19.57840270954535,19.6823426211069,13.32997963327867,8.383008478385412,-1.189897165215135,0.0085143285633113,-0.92532148844679,-0.4977788008575892,8.304535313333945,2830.9050163568786,1211.2583458713416,1.4278696525926269,0.3561835800541074,spline_df3,7330.71695103106,649.7363241861207,False,True,excess-only,,0.31261112670952684,0.31273086694142077,302557.30344792194,True,deviation-only,0.875,1185.8699766699629,True,True,2830.9050163568786,1211.2583458713416,False,True,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,2830.9050163568786,0.0
1,All Population,6,Incidence,72,New Zealand,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,1050.28347689401,1230.919201155,880.16198645275,Incidence,NZL,NZL,0.866430611,30.605371239125752,6.88138507182829,14.17699320222394,9.96729196387074,-1.231456819864157,-1.4864335476161727,-0.8076419182086256,0.3110653711858589,6.956815384708364,1232.9732639249446,-182.68978703093467,0.8518298876576,-0.1603684344617155,spline_df3,7330.71695103106,649.7363241861207,False,False,neither,,0.335410521228674,0.3339643271734027,298054.29960199934,False,neither,0.125,-176.1939734481557,True,True,1232.9732639249446,-182.68978703093467,False,False,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,1232.9732639249446,0.0
1,All Population,6,Incidence,101,Canada,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,578.20536370774,705.06004744957,475.20823285966,Incidence,CAN,CAN,0.887304675,42.56892771247085,6.55039237938261,7.983292450951071,7.010239665590065,-1.1292668524526093,-1.552914666877908,-1.6681618311318656,-0.2637051837028407,6.3599291061005125,998.440495552536,-420.235131844796,0.57910848596717,-0.5462654511413528,spline_df3,7330.71695103106,649.7363241861207,False,False,neither,,0.394529879932799,0.3975262579993828,1855325.9278502665,False,neither,0.0,-407.2537306233139,True,True,998.440495552536,-420.235131844796,False,False,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,998.440495552536,0.0
1,All Population,6,Incidence,44,Bosnia and Herzegovina,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,3927.71368127109,4665.43213787158,3301.3737827017103,Incidence,BIH,BIH,0.712915296,46.641192853932495,26.0886959562752,12.624148473973031,8.786752538928985,-0.6264005809604893,0.426632905972223,-1.0233859239330174,-0.0986594854673686,8.275812775084196,4246.511901667003,-318.7982203959132,0.9249270394671998,-0.0780404208322829,spline_df3,7330.71695103106,649.7363241861207,False,False,neither,,0.34584178443216196,0.3472906799887797,141026.7038352425,False,neither,0.0,-345.1524861291059,True,True,4246.511901667003,-318.7982203959132,False,False,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,4246.511901667003,0.0
1,All Population,6,Incidence,97,Argentina,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,2512.36657406578,2984.78763423608,2043.7863959921,Incidence,ARG,ARG,0.764786183,24.27510370023675,14.3465949932455,17.790499242613876,10.236822341497408,-1.0732641336484576,-0.453844035839457,-0.3056005655351184,-0.6239570392720627,7.828980446107778,2963.62646040972,-451.2598863439398,0.8477338853690916,-0.165188506863525,spline_df3,7330.71695103106,649.7363241861207,False,False,neither,,0.37872443606280815,0.37454774631918114,2782523.8322800617,False,neither,0.0,-477.821289970293,True,True,2963.62646040972,-451.25988634394025,False,False,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,2963.62646040972,0.0
1,All Population,6,Incidence,99,Uruguay,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,2385.15484068362,2902.64927540012,1953.8751797208504,Incidence,URY,URY,0.745444259,19.0330638874319,10.8548023885457,18.020896971705657,11.471219577842444,-1.1361249336712689,-0.8538709198850104,-0.273590327756836,-0.007823880845479,7.777019323933552,3411.051412033782,-1025.896571350162,0.6992432984941471,-0.3577565307941919,spline_df3,7330.71695103106,649.7363241861207,False,False,neither,,0.3958091909919359,0.39778301999351007,174873.64194124733,False,neither,0.0,-1054.685623839775,True,True,3411.051412033782,-1025.896571350162,False,False,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,3411.051412033782,0.0
1,All Population,6,Incidence,33,Armenia,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,4742.33013415951,5430.75174992,4142.23994561586,Incidence,ARM,ARM,0.717334917,51.0683967624294,28.5532304553511,9.63664618760368,6.489595281014132,-0.5945368740852994,0.5615603938658612,-1.438453637173152,-0.8419574568950248,8.464283883383725,4127.111606301131,615.2185278583784,1.1490675771692445,0.1389508110355342,spline_df3,7330.71695103106,649.7363241861207,False,False,neither,,0.2708408769909294,0.2717043663879181,170494.7915600095,False,neither,0.0,588.0343462746187,True,True,4127.111606301131,615.2185278583784,False,False,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,4127.111606301131,0.0
1,All Population,6,Incidence,40,Turkmenistan,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,6603.91309166772,7578.9872175358,5901.1826348779205,Incidence,TKM,TKM,0.682174647,23.05440349013405,31.2475628480692,17.235996548929705,6.572219937625347,-0.8800002342444123,0.6967557457263409,-0.3826402270955745,-2.0252376592354,8.795417645000022,5124.559935005639,1479.3531566620811,1.288679062285268,0.2536177110205012,spline_df3,7330.71695103106,649.7363241861207,False,True,excess-only,,0.25022680085062454,0.25406218394587843,596989.0550738934,True,deviation-only,1.0,1463.21236766335,True,True,5124.559935005639,1479.3531566620813,False,True,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,5124.559935005639,0.0
1,All Population,6,Incidence,69,Singapore,3,Both,1,<5 years,322,Lower respiratory infections,3,Rate,2023,2430.49951779291,2947.42123189022,2054.04951775938,Incidence,SGP,SGP,0.869993868,42.56892771247085,15.1427300261359,27.477016849954023,21.8094104048868,-1.0836916554334874,-0.3754748742020991,1.0401927852793769,1.189068865542288,7.795852078087181,1190.2888315610824,1240.2106862318276,2.041940958653936,0.7139008058347236,spline_df3,7330.71695103106,649.7363241861207,False,True,excess-only,,0.36111741019051813,0.3675671225568043,251740.58466747624,True,deviation-only,1.0,1247.889682282051,True,True,1190.2888315610824,1240.2106862318276,False,True,full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,1190.2888315610824,0.0
