age_group,age_label,outcome,high_excess_countries,observed_number,expected_number,benchmark_relative_excess_number,population_at_risk,excess_number_positive_high_excess
u5,Under-5,Incidence,68,29653696.62762596,23554241.25341764,6099455.374208328,345981589.4891858,6099455.374208328
u5,Under-5,Deaths,68,371690.0072871554,210478.5778945793,161211.4293925761,274157998.5275016,161211.4293925761
u5,Under-5,DALYs,68,33151553.276789505,18802102.98464264,14349450.292146863,274157998.5275017,14349450.292146863
u5,Under-5,YLLs,68,33123244.3341298,18768184.172130648,14355060.16199915,274157998.5275016,14355060.16199915
70p,70+ years,Incidence,68,38402226.5028348,18936007.95504087,19466218.54779393,140968800.89013934,19466218.54779393
70p,70+ years,Deaths,68,407841.27418199467,193618.9572156798,214222.3169663149,70530782.12634386,214222.3169663149
70p,70+ years,DALYs,68,5222352.008471713,2539414.393755033,2682937.6147166807,70453565.8972172,2682937.6147166807
70p,70+ years,YLLs,68,5185824.350266653,2517183.9091200987,2668640.441146555,70019072.0757182,2668640.441146555
