age_group,age_label,outcome,high_deviation_countries,observed_number,benchmark_predicted_number,benchmark_relative_number_difference,population_at_risk,positive_benchmark_relative_number_difference,n_countries,same_endpoint_profile_n,same_endpoint_profile_share,modal_high_deviation_n,p_high_deviation_ge_0_8_n,p_high_deviation_ge_0_8_share
70p,70+ years,DALYs,68,5222352.008471713,2539414.393755033,2682937.6147166807,70453565.8972172,2682937.6147166807,203,151,0.7438423645320197,62.0,55.0,0.8870967741935484
70p,70+ years,Deaths,68,407841.27418199467,193618.9572156798,214222.3169663149,70530782.12634386,214222.3169663149,203,153,0.7536945812807881,69.0,52.0,0.7536231884057971
70p,70+ years,Incidence,68,38402226.5028348,18936007.95504087,19466218.54779393,140968800.89013934,19466218.54779393,203,157,0.7733990147783252,67.0,57.0,0.8507462686567164
70p,70+ years,YLLs,68,5185824.350266653,2517183.9091200987,2668640.441146555,70019072.0757182,2668640.441146555,203,151,0.7438423645320197,,,
u5,Under-5,DALYs,68,33151553.276789505,18802102.98464264,14349450.292146863,274157998.5275017,14349450.292146863,203,146,0.7192118226600985,69.0,52.0,0.7536231884057971
u5,Under-5,Deaths,68,371690.0072871554,210478.5778945793,161211.4293925761,274157998.5275016,161211.4293925761,203,146,0.7192118226600985,70.0,52.0,0.7428571428571429
u5,Under-5,Incidence,68,29653696.62762596,23554241.25341764,6099455.374208328,345981589.4891858,6099455.374208328,203,118,0.5812807881773399,68.0,58.0,0.8529411764705882
u5,Under-5,YLLs,68,33123244.3341298,18768184.172130648,14355060.16199915,274157998.5275016,14355060.16199915,203,146,0.7192118226600985,,,
